claim_id,frame,source_name,source_url,source_version_or_date,exact_quote,benchmarks,reported_n,baseline_accuracy_reported,delta_reported,per_item_outputs_released,statistical_test_or_interval_reported,source_sha256,quote_verification,extraction_notes
P01,F1,"LLM.int8() (Dettmers, Lewis, Belkada, Zettlemoyer, 2022)",https://arxiv.org/abs/2208.07339,"arXiv:2208.07339, v2 (as fetched 2026-07-15)","""without any performance degradation""","Mean zero-shot accuracy: WinoGrande, HellaSwag, PIQA, LAMBADA (OPT 125M-175B)",not stated in extractable text (Figure 1 is a chart image; per-task n not given in prose),not stated as numeric value in extractable text (reported only in Figure 1 chart),not stated as numeric value in extractable text (prose states LLM.int8() 'maintains full 16-bit performance as we scale from 125M to 175B parameters'),No (code released at https://github.com/TimDettmers/bitsandbytes; no per-item eval outputs),No,"e126e392c57eb8b92d62bb78ec88104870af8ec1062ee69932b09e4591523433 (full_2208.07339.html, ar5iv render)",raw-verified (curl+regex extraction of arXiv abstract and ar5iv full-text HTML),"Abstract also states 'used immediately without performance degradation' for the 175B checkpoint. Main-text numeric claim exists only as a figure (Fig.1); no accessible table gives per-benchmark baseline/delta, so those fields are marked not-extractable rather than imputed."
P02,F1,"GPTQ (Frantar, Ashkboos, Hoefler, Alistarh, 2022)",https://arxiv.org/abs/2210.17323,"arXiv:2210.17323, as fetched 2026-07-15","""negligible accuracy degradation relative to the uncompressed baseline""","PIQA (OPT-175B, Table 15)","imputed (PIQA validation set, standard n=1838)","81.07 (OPT-175B, full 16-bit, PIQA)",-0.07 pp (GPTQ 4-bit: 81.00 vs full16: 81.07),No (code released; no per-item outputs),No,"5f8745bf4695118933100b192c62963b7db692c36587136d37058dca8acfa73b (full_2210.17323.html, ar5iv render)","raw-verified (curl+regex extraction of abstract and ar5iv full-text HTML, Table 15 grep)",Abstract quote is the trigger; Table 15 (OPT accuracy on PIQA) supplies the closest concrete number for the largest model where the abstract's '175 billion parameters' claim is made. GPTQ also reports LAMBADA/ARC-easy tables with similarly small deltas at 4-bit.
P03,F1,"SmoothQuant (Xiao, Lin, Seznec, Wu, Demouth, Han, 2022)",https://arxiv.org/abs/2211.10438,"arXiv:2211.10438, as fetched 2026-07-15","""quantize the 3 largest, openly available LLM models into INT8 without degrading the accuracy""","Average of WinoGrande, HellaSwag, PIQA, LAMBADA (OPT-175B)","imputed (WinoGrande 1267 + HellaSwag 10042 + PIQA 1838 + LAMBADA 5153, standard splits)","71.6% (OPT-175B, FP16)",-0.4 pp (SmoothQuant-O1: 71.2% vs FP16: 71.6%),No (code released; no per-item outputs),No,"5f34a57b3837f75b223fd1a6ed449f7f45f25c181ff8321867192b10e2997659 (full_2211.10438.html, ar5iv render)",raw-verified (curl+regex extraction of ar5iv full-text HTML; table located via grep for 'Method OPT-175B BLOOM-176B GLM-130B'),"Paper also separately claims 'negligible accuracy loss' for W8A8 MT-NLG 530B where FP16 and INT8 average scores are identical (73.1% vs 73.1% on LAMBADA/HellaSwag/PIQA/WinoGrande) -- an even stronger same-paper instance, logged here as a note rather than a separate row to avoid double counting one paper's headline claim."
P04,F1,"AWQ (Lin, Tang, Tang, Yang, Chen, Wang, Xiao, Dang, Gan, Han, 2023)",https://arxiv.org/abs/2306.00978,"arXiv:2306.00978, as fetched 2026-07-15","""providing 4x model size reduction with negligible performance loss""","COCO Captioning CIDEr, 32-shot (OpenFlamingo-9B, Table 5)","imputed (COCO Karpathy test split, standard n=5000 images)","81.70 CIDEr (FP16, 32-shot)",-1.17 CIDEr (AWQ INT4-g128: 80.53 vs FP16: 81.70),No (code/TinyChat framework released; no per-item outputs),No,"a62a9292df89cb97b46be391821573d450ef4a9c92c10cfd178a1576aca9cea7 (full_2306.00978.html, ar5iv render)","raw-verified (ar5iv full-text HTML, Table 5 grep)","AWQ's abstract does not itself use trigger vocabulary; the qualifying claim is in the multimodal (OpenFlamingo/COCO) results section, not the primary LLaMA zero-shot language tables. This is a borderline inclusion call: it is a captioning benchmark (CIDEr), not an accuracy percentage, but CIDEr functions as the reported benchmark-quality metric here and the delta is explicitly framed with 'negligible performance loss.'"
P05,F1,"SqueezeLLM (Kim, Hooper, Gholami, Dong, Zhao, Kim, Mahoney, Keutzer, 2023)",https://arxiv.org/abs/2306.07629,"arXiv:2306.07629, as fetched 2026-07-15","""preserves the FP16 baseline accuracy with 4-bit quantization""","MMLU zero-shot accuracy, averaged over 5 Vicuna models (v1.1/v1.3, 7B/13B/33B; Table 2)","imputed (MMLU test set, standard n=14042)","39.1% (Baseline, 16-bit, avg over 5 Vicuna models)","+0.3 pp (SqueezeLLM 0.45% dense-sparse, 4.26-bit avg: 39.4% vs Baseline: 39.1%)",No (code released; no per-item outputs),No,"2e34e55160d0bb7bf74d527fb3c0f05a77afa15abdc1385144cfba6742772d09 (full_2306.07629.html, ar5iv render)","raw-verified (ar5iv full-text HTML; Table 2 grep, 'Method Avg. Vicuna-7B (v1.1)')",Paper's headline abstract claim ('lossless compression to ultra-low precisions of up to 3-bit') is perplexity-only (C4/WikiText2); this MMLU row is the accompanying benchmark-accuracy claim required by inclusion rule 1 for perplexity-only papers.
P06,F1,"Wanda (Sun, Liu, Bair, Kolter, 2023)",https://arxiv.org/abs/2306.11695,"arXiv:2306.11695, as fetched 2026-07-15","""is able to match the zero-shot accuracies of their dense counterparts""","7-task zero-shot accuracy average: BoolQ, RTE, HellaSwag, WinoGrande, ARC-e, ARC-c, OBQA (LLaMA-2-70B, unstructured 50% sparsity, Table 25)","imputed (BoolQ 3270 + RTE 277 + HellaSwag 10042 + WinoGrande 1267 + ARC-e 2376 + ARC-c 1172 + OBQA 500, standard splits)","67.08 (Dense LLaMA-2-70B, mean of 7 tasks)",-0.05 pp (Wanda 50% unstructured: 67.03 vs Dense: 67.08),No (code released; no per-item outputs),No,"57503d77ba9e18685d7a0fd27ef8f3f6df244eaab7ce0d8caafa697e92b7c193 (full_2306.11695.html, ar5iv render)",raw-verified (ar5iv full-text HTML; Table 25 grep for '70B Dense 83.40'),"Borderline inclusion call: the sentence 'performs on par with the prior best approach SparseGPT' (found first) compares two compression methods, not compressed-vs-dense, so it does NOT qualify. The qualifying sentence instead compares 50% sparse LLaMA-65B/LLaMA-2-70B directly to their dense baselines using 'match' -- included on that basis. LLaMA-65B (Table 22) shows a very similar pattern (66.67 vs 66.97, -0.30pp)."
P07,F1,"QuIP# (Tseng, Chee, Sun, Kuleshov, De Sa, 2024)",https://arxiv.org/abs/2402.04396,"arXiv:2402.04396, as fetched 2026-07-15","""perform similarly ... very close to FP16 performance""","ArcC, ArcE, PiQA, Winogrande (LLaMA-2-70B, 4-bit, Table 3)","imputed (ArcC 1172 + ArcE 2376 + PiQA 1838 + Winogrande 1267, standard splits)","FP16: ArcC 51.1, ArcE 77.7, PiQA 81.1, Wino 77.0","QuIP# 4-bit: ArcC 50.6 (-0.5), ArcE 78.1 (+0.4), PiQA 81.4 (+0.3), Wino 77.1 (+0.1)",No (code released; no per-item outputs),No,"57186233eca473fa2e046c369e49feb836a1ac253f65b8e01c316e13398a7c3f (full_2402.04396.html, ar5iv render)",raw-verified (ar5iv full-text HTML; quote and table both grepped directly),"Borderline inclusion call: 'very close to FP16 performance' is used to describe 4-bit state-of-the-art PTQ methods generally (QuIP#, AQLM, OmniQuant) in a discussion paragraph, not exclusively QuIP#'s own result; included because QuIP#'s own Table 3/4 numbers at 4-bit substantiate the claim for QuIP# specifically (matches or exceeds FP16 on 3 of 4 tasks)."
P08,F1,"SparseGPT (Frantar, Alistarh, 2023)",https://arxiv.org/abs/2301.00774,"arXiv:2301.00774, as fetched 2026-07-15","""inducing 50% sparsity results in practically no accuracy decrease""","LAMBADA, PIQA, ARC-e, ARC-c, StoryCloze average (OPT-175B, Table 2)","imputed (LAMBADA 5153 + PIQA 1838 + ARC-e 2376 + ARC-c 1172 + StoryCloze 1871, standard splits)","70.29 (Dense OPT-175B, mean of 5 tasks)",+0.23 pp (SparseGPT 50%: 70.52 vs Dense: 70.29),No (code released as supplementary material; no per-item outputs),No,"fd91425cfcc9574a0b107c5e7e92b74b33cf6a49ad8695649d418174ae417b34 (full_2301.00774.html, ar5iv render)",raw-verified (ar5iv full-text HTML; Table 2 grep for 'ZeroShot results on s'),"Abstract's own trigger word is 'minimal loss of accuracy' (also 'negligible increase in perplexity', perplexity-only) -- borderline because 'minimal loss of accuracy' is not a literal listed trigger phrase but is treated as synonymous with 'negligible' per the mechanical rule's intent. Body text's 'practically no accuracy decrease' is a closer literal match and is used as the extracted quote, backed by the OPT-175B zero-shot table (delta is actually positive)."
X01,F1-excluded,"SpinQuant (Liu, Zhang, Zhao, Hall, Krishnamoorthi, Chandra, 2024)",https://arxiv.org/abs/2405.16406,"arXiv:2405.16406, as fetched 2026-07-15",N/A - excluded,N/A,N/A,N/A,N/A,N/A,N/A,"182fdffdfa0133af7dbc560a404000a9e601cd11167866b083e649efa0bec2a8 (full_2405.16406.html, ar5iv render)","raw-verified (checked, did not qualify)","Checked exhaustively; SpinQuant explicitly quantifies its own remaining gap to full precision (2.9 to 9.4 points across configs, framed as a gap being narrowed, not eliminated) and at one point uses 'non-negligible' to describe its OWN improvement margin over a baseline -- the opposite framing from an equivalence claim. No sentence asserts parity/negligible-difference from the uncompressed baseline for any reported configuration. Excluded from F1."
P09,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16 (model card),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,"HF README.md, fetched 2026-07-15","""98.9% for OpenLLM v1 (using Meta's prompting when available)""","OpenLLM v1 average: MMLU (5-shot), MMLU (CoT 0-shot), ARC-Challenge (0-shot), GSM-8K (CoT 8-shot), HellaSwag (10-shot), Winogrande (5-shot), TruthfulQA (0-shot, mc2)","not stated (references Neural Magic fork of lm-evaluation-harness; imputed via each task's standard size, e.g. MMLU 14042)","74.3 (Meta-Llama-3.1-8B-Instruct, OpenLLM v1 average)",-0.8 pp (w4a16: 73.5 vs baseline: 74.3; stated recovery 98.9%),"Partial - per-item outputs released as HF datasets for Arena-Hard, OpenLLM v2, and HumanEval, but NOT for the OpenLLM v1 tasks used in this specific claim",No,a53d0b7dda0ccfbc0522db6f8aa73b1b9b64e9020e712f8a7007f5b101c1c5bd,raw-verified (curl raw README.md),"Card also reports 93.0% recovery on Arena-Hard (below the X>=98 trigger) and 96.1% on OpenLLM v2 (below trigger); those sub-claims are not separately counted. Individual OpenLLM v1 MMLU(5-shot) row alone is 97.9%, just under the 98 threshold; the AVERAGE across the 7 v1 tasks (98.9%) is what crosses the trigger and is what is extracted here."
