claim_id,frame,source_name,source_url,source_version_or_date,exact_quote,benchmarks,reported_n,baseline_accuracy_reported,delta_reported,per_item_outputs_released,statistical_test_or_interval_reported,source_sha256,quote_verification,pass1_id,pass2_id,verdict_stage_flags,reconciliation_notes
R01,F1,"GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers (Frantar, Ashkboos, Hoefler, Alistarh)",https://arxiv.org/abs/2210.17323,"arXiv:2210.17323, as fetched 2026-07-15",negligible accuracy degradation relative to the uncompressed baseline,"LAMBADA; PIQA; ARC-Easy; ARC-Challenge; StoryCloze (OPT-175B, 4-bit; Appendix A.4 Tables 13-22)","imputed (PIQA validation set, standard n=1838)",OPT-175B FP16: LAMBADA 75.59; PIQA 81.07; ARC-e 71.04; ARC-c 43.94; StoryCloze 79.82,GPTQ 4-bit minus FP16: LAMBADA +1.21pp; PIQA -0.07pp; ARC-e -2.35pp; ARC-c -1.19pp; StoryCloze +0.26pp,No (code released; no per-item outputs),no,"5f8745bf4695118933100b192c62963b7db692c36587136d37058dca8acfa73b (full_2210.17323.html, ar5iv render)",pass1 summarizer-derived; spot-check before verdicts,C01,P02,,"Identical quote both passes. Pass1 extracted the full 5-task OPT-175B table; pass2 PIQA only; union kept. Pass1 quote was summarizer-derived, pass2 raw-verified the same words."
R02,F1,"LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale (Dettmers, Lewis, Belkada, Zettlemoyer)",https://arxiv.org/abs/2208.07339,"arXiv:2208.07339, v2 (as fetched 2026-07-15)",without any performance degradation,"WinoGrande; HellaSwag; PIQA; LAMBADA (OPT 125M-175B scaling curve, Figure 1); WikiText103/PTB perplexity (Table 1, excluded by inclusion rule)",not stated in extractable text (Figure 1 is a chart image; per-task n not given in prose),"not tabulated - figure-only, no exact numbers extracted this pass","qualitative only: figure caption states 'regular quantization methods fail, while LLM.int8() maintains 16-bit accuracy' once outliers emerge at 6.7B params; no numeric delta table located",No (code released at https://github.com/TimDettmers/bitsandbytes; no per-item eval outputs),no,"e126e392c57eb8b92d62bb78ec88104870af8ec1062ee69932b09e4591523433 (full_2208.07339.html, ar5iv render)",pass1 summarizer-derived; spot-check before verdicts,C02,P01,figure-only evidence; no extractable n or baseline,Identical quote both passes. Both passes independently found the headline comparison is a chart image (Figure 1) with no extractable numeric table.
R03,F1,"SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models (Xiao, Lin, Seznec, Wu, Demouth, Han)",https://arxiv.org/abs/2211.10438,"arXiv:2211.10438, as fetched 2026-07-15",negligible loss in accuracy,"LAMBADA; HellaSwag; PIQA; WinoGrande; OpenBookQA; RTE; COPA (OPT-175B, Table 3); OPT-175B/BLOOM-176B/GLM-130B avg accuracy (Table 4)","imputed (WinoGrande 1267 + HellaSwag 10042 + PIQA 1838 + LAMBADA 5153, standard splits)","Table 3 OPT-175B FP16 avg 66.9%; Table 4: OPT-175B FP16 71.6%, BLOOM-176B FP16 68.2%, GLM-130B FP16 73.8%","Table 3 (O3): avg -0.1pp (66.8 vs 66.9); Table 4 (O1): OPT-175B -0.4pp, BLOOM-176B +0.1pp, GLM-130B -0.1pp; body text states 'only 0.8% degradation at O3' for BLOOM-176B",No (code released; no per-item outputs),no,"5f34a57b3837f75b223fd1a6ed449f7f45f25c181ff8321867192b10e2997659 (full_2211.10438.html, ar5iv render)",pass1 summarizer-derived; spot-check before verdicts,C03,P03,,"Source hosts multiple qualifying claims; primary = abstract 'negligible loss in accuracy'; pass2's alternative qualifying quote ('without degrading the accuracy', Table 4 context) preserved here. n imputation from pass2."
R04,F1,"AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration (Lin, Tang, Tang, Yang, Chen, Wang, Xiao, Dang, Gan, Han)",https://arxiv.org/abs/2306.00978,"arXiv:2306.00978, as fetched 2026-07-15",providing 4x model size reduction with negligible performance loss,MBPP (CodeLlama-7B); GSM8K (Llama-2-7B); INT4-g128 weight-only quantization,"imputed (COCO Karpathy test split, standard n=5000 images)",MBPP FP16 (CodeLlama-7B) 38.53; GSM8K FP16 (Llama-2-7B) 13.87,"MBPP: +2.11pp (40.64 AWQ vs 38.53 FP16, i.e. quantized scores higher); GSM8K: -0.30pp (13.57 vs 13.87)",No (code/TinyChat framework released; no per-item outputs),no,"a62a9292df89cb97b46be391821573d450ef4a9c92c10cfd178a1576aca9cea7 (full_2306.00978.html, ar5iv render)","raw-verified (ar5iv full-text HTML, Table 5 grep)",C04,P04,"claim metric is CIDEr (generation quality), not accuracy","Primary quote from pass2: 'negligible performance loss' (COCO CIDEr, Table 5) is literal trigger vocabulary; pass1's anchor ('comparable performance to the original FP16 model', MBPP/GSM8K) lacks a trigger term and is preserved as context: MBPP +2.11pp, GSM8K -0.30pp vs FP16. Pass1 also flagged an unusual arXiv v6 (2026-04-25) revision; quote verified present in v6."
R05,F1,"SqueezeLLM: Dense-and-Sparse Quantization (Kim, Hooper, Gholami, Dong, Li, Shen, Mahoney, Keutzer)",https://arxiv.org/abs/2306.07629,"arXiv:2306.07629, as fetched 2026-07-15",enables lossless compression to ultra-low precisions of up to 3-bit,"MMLU (Vicuna-7B v1.1, Table 2); LLaMA-family perplexity (excluded by inclusion rule, cited only as context)","imputed (MMLU test set, standard n=14042)",Vicuna-7B v1.1 MMLU baseline 39.1%,"4-bit: -0.3pp (38.8 vs 39.1, Vicuna-7B v1.1); 3-bit: -3.1pp (36.0 vs 39.1); pass2 read the 4.26-bit dense-and-sparse variant at +0.3pp (39.4 vs 39.1)",No (code released; no per-item outputs),no,"2e34e55160d0bb7bf74d527fb3c0f05a77afa15abdc1385144cfba6742772d09 (full_2306.07629.html, ar5iv render)",pass1 raw-verified,C07,P05,"self-contradiction: abstract claims lossless at 3-bit, own Table 2 shows -3.1pp","Primary = abstract claim 'lossless compression to ultra-low precisions of up to 3-bit', which the paper's own Table 2 contradicts at 3-bit (-3.1pp MMLU). Pass2's alternative qualifying quote ('preserves the FP16 baseline accuracy with 4-bit quantization') and its 4.26-bit variant reading preserved."
R06,F1,"A Simple and Effective Pruning Approach for Large Language Models [Wanda] (Sun, Liu, Bair, Kolter)",https://arxiv.org/abs/2306.11695,"arXiv:2306.11695, as fetched 2026-07-15",able to match the zero-shot accuracies of their dense counterparts,"7-task zero-shot average (EleutherAI LM Harness suite) - LLaMA-65B and LLaMA-2-70B, 50% unstructured sparsity","imputed (BoolQ 3270 + RTE 277 + HellaSwag 10042 + WinoGrande 1267 + ARC-e 2376 + ARC-c 1172 + OBQA 500, standard splits)",LLaMA-65B dense 66.97% (7-task avg); LLaMA-2-70B dense 67.08% (7-task avg),LLaMA-65B: -0.30pp (66.67 vs 66.97); LLaMA-2-70B: -0.05pp (67.03 vs 67.08),No (code released; no per-item outputs),no,"57503d77ba9e18685d7a0fd27ef8f3f6df244eaab7ce0d8caafa697e92b7c193 (full_2306.11695.html, ar5iv render)",pass1 summarizer-derived; spot-check before verdicts,C05,P06,,Identical quote both passes (modulo leading 'is'). Pass1 adds LLaMA-65B (-0.30pp) alongside LLaMA-2-70B (-0.05pp); pass2 itemized the 7-task n imputation.
R07,F1,"SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot (Frantar, Alistarh)",https://arxiv.org/abs/2301.00774,"arXiv:2301.00774, as fetched 2026-07-15",inducing 50% sparsity results in practically no accuracy decrease,"LAMBADA; PIQA; ARC-Easy; ARC-Challenge; StoryCloze (OPT-175B, 50% unstructured sparsity, zero-shot)","imputed (LAMBADA 5153 + PIQA 1838 + ARC-e 2376 + ARC-c 1172 + StoryCloze 1871, standard splits)","OPT-175B dense avg 70.29% (5-task avg, per secondary WebFetch extraction of Table 2 - not independently grepped)","+0.23pp (70.52 sparse vs 70.29 dense, 5-task avg)",No (code released as supplementary material; no per-item outputs),"no explicit test; paper itself states (VERIFIED verbatim via curl+grep of ar5iv HTML) 'these numbers are more noisy' immediately after the quoted claim - an informal acknowledgment of measurement uncertainty, not a quantified interval","fd91425cfcc9574a0b107c5e7e92b74b33cf6a49ad8695649d418174ae417b34 (full_2301.00774.html, ar5iv render)",raw-verified (ar5iv full-text HTML; Table 2 grep for 'ZeroShot results on s'),C06,P08,,"Both passes qualify the source; primary quote from pass2 ('practically no accuracy decrease') is the closer literal trigger match than pass1's 'stay close to the original accuracy'. Numbers agree exactly across passes (70.29 dense, +0.23pp). Pass1's verbatim-verified note about the paper's own caveat on zero-shot number reliability retained."
R08,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,"HF README.md, fetched 2026-07-15","achieves 93.0% recovery for the Arena-Hard evaluation, 98.9% for OpenLLM v1","Arena-Hard; OpenLLM v1 avg (MMLU 5-shot, MMLU-CoT 0-shot, ARC-Challenge, GSM-8K-CoT, HellaSwag, WinoGrande, TruthfulQA); OpenLLM v2 avg; HumanEval pass@1; HumanEval+ pass@1","not stated (references Neural Magic fork of lm-evaluation-harness; imputed via each task's standard size, e.g. MMLU 14042)",Arena-Hard 25.8 (25.1/26.5 two GPT-4 judgments); OpenLLM v1 avg 74.3; OpenLLM v2 avg 27.6; HumanEval 67.3; HumanEval+ 60.7,"Arena-Hard: TABLE shows +1.4 abs (27.2 vs 25.8) = 105.4% recovery, but PROSE (quoted) states 93.0% recovery for the SAME benchmark - internal contradiction, see notes; OpenLLM v1: -0.8pp (98.9%); OpenLLM v2: -1.1pp (96.1%); HumanEval: -0.2pp (99.7%); HumanEval+: -1.6pp (97.4%)","Partial - per-item outputs released as HF datasets for Arena-Hard, OpenLLM v2, and HumanEval, but NOT for the OpenLLM v1 tasks used in this specific claim",no (point estimates and recovery percentages only; Arena-Hard reports two GPT-4 judge scores as a split but no formal CI),a53d0b7dda0ccfbc0522db6f8aa73b1b9b64e9020e712f8a7007f5b101c1c5bd,pass1 raw-verified,C08,P09,self-contradiction on card: prose 93.0% vs table 105.4% Arena-Hard recovery; per-item outputs partial (not for OpenLLM v1),Primary = pass1 quote covering both recovery figures. Both passes independently confirmed the card; pass1 additionally verified the prose/table self-contradiction on Arena-Hard (prose 93.0% recovery vs table 25.8->27.2 = 105.4%).
R09,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,"HF README.md, fetched 2026-07-15",achieves an average score of 73.44 on the OpenLLM benchmark,"OpenLLM v1: MMLU (5-shot), MMLU-CoT (0-shot), ARC-Challenge (0-shot), GSM-8K-CoT (8-shot strict-match), and others per standard suite",not stated; imputed via standard task sizes,"OpenLLM v1 avg 73.79 (unquantized Meta-Llama-3.1-8B-Instruct); per-task e.g. MMLU 67.95, MMLU-CoT 71.24, ARC-C 82.00, GSM8K-CoT 81.96","Average: -0.35pp (73.44 vs 73.79, 99.52% recovery); MMLU: +0.02pp (100.0%); MMLU-CoT: -0.12pp (99.83%); ARC-C: -0.34pp (99.59%); GSM8K-CoT: -0.84pp (98.98%)",No (pass2 confirmed no linked per-item dataset on this card),no,238efcee95e8ef40514f20cab179fcf6cc8c22ec2a45634866fe8a9dd6be4fd6,pass1 raw-verified,C09,P11,,Identical quote both passes; recovery 99.52% from table caption. Pass1's open per-item question resolved by pass2: none linked.
R10,F2,RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,"HF README.md, fetched 2026-07-15",average recovery percentage across all benchmarks is 98.6%,"OpenLLM v1: MMLU (5-shot), ARC-Challenge (25-shot), GSM-8K (5-shot strict-match), HellaSwag (10-shot), WinoGrande (5-shot), TruthfulQA (0-shot mc2)",not stated; imputed via standard task sizes,Qwen2.5-7B-Instruct: MMLU 74.24; ARC-C 63.40; GSM8K 80.36; HellaSwag 81.52; WinoGrande 74.66; TruthfulQA 64.76; Average 73.16,"MMLU -1.05pp (98.6%); ARC-C -0.17pp (99.7%); GSM8K +0.23pp (100.3%); HellaSwag -0.87pp (98.9%); WinoGrande -0.47pp (99.4%); TruthfulQA -0.49pp (99.3%); Average -0.47pp (72.69 vs 73.16, 98.6%)",No (pass2 confirmed no linked per-item dataset on this card),no,3da1c99b75165a84818ea56fe697a48a7335af5af11a2c4731c9635c5f684574,pass1 raw-verified,C10,P12,,"Pass1 quoted the prose sentence, pass2 the table caption; same 98.6% figure verified independently by both. Pass1's per-task baseline/delta detail kept; pass2 adds the 6-task average (73.16 -> 72.69, -0.47pp)."
