pair_index,source,quantized_model,base_model,method,task,contains_disclosed_probe_cell,excluded_or_skipped,reason,n,correctness_column,baseline_accuracy,method_accuracy,net_accuracy_delta,harmful_flip_rate,beneficial_flip_rate,accuracy_state_churn,total_answer_churn,mcnemar_p,tost_equivalent,mdd_80_power,required_n_for_observed_delta_80_power,prompt_pass_rate,run_base_timestamp,run_quantized_timestamp,run_fallback_used
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,1.0,2023_11_06T19_41_58.229759,2023_11_07T07_11_46.594603,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_gsm8k_5,False,True,no shared join keys between 1319 base and 1319 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_10_18T04_27_15.231240'],,,,,,,,,,,,,,,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_truthfulqa_mc_0,False,True,no parquet found for task harness_truthfulqa_mc_0 in runs ['2023_10_18T04_27_15.231240'],,,,,,,,,,,,,,,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_winogrande_5,False,True,no shared join keys between 1267 base and 1267 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
2,S1,TheBloke/Llama-2-7B-GPTQ,meta-llama/Llama-2-7b-hf,GPTQ,harness_drop_3,True,True,no parquet found for task harness_drop_3 in runs ['2023_12_02T13_00_54.924067'],,,,,,,,,,,,,,,2023_12_02T13_00_54.924067,2023_10_21T20_13_14.412039,False
2,S1,TheBloke/Llama-2-7B-GPTQ,meta-llama/Llama-2-7b-hf,GPTQ,harness_hendrycksTest_5,True,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_12_02T13_00_54.924067'],,,,,,,,,,,,,,,2023_12_02T13_00_54.924067,2023_10_21T20_13_14.412039,False
2,S1,TheBloke/Llama-2-7B-GPTQ,meta-llama/Llama-2-7b-hf,GPTQ,harness_truthfulqa_mc_0,True,True,no parquet found for task harness_truthfulqa_mc_0 in runs ['2023_12_02T13_00_54.924067'],,,,,,,,,,,,,,,2023_12_02T13_00_54.924067,2023_10_21T20_13_14.412039,False
3,S1,TheBloke/Llama-2-13B-GPTQ,meta-llama/Llama-2-13b-hf,GPTQ,harness_drop_3,False,True,no parquet found for task harness_drop_3 in runs ['2023_12_02T13_11_49.394544'],,,,,,,,,,,,,,,2023_12_02T13_11_49.394544,2023_10_27T16_26_14.370378,False
3,S1,TheBloke/Llama-2-13B-GPTQ,meta-llama/Llama-2-13b-hf,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_12_02T13_11_49.394544'],,,,,,,,,,,,,,,2023_12_02T13_11_49.394544,2023_10_27T16_26_14.370378,False
3,S1,TheBloke/Llama-2-13B-GPTQ,meta-llama/Llama-2-13b-hf,GPTQ,harness_truthfulqa_mc_0,False,True,no parquet found for task harness_truthfulqa_mc_0 in runs ['2023_12_02T13_11_49.394544'],,,,,,,,,,,,,,,2023_12_02T13_11_49.394544,2023_10_27T16_26_14.370378,False
4,S1,TheBloke/WizardLM-13B-V1.1-GPTQ,WizardLM/WizardLM-13B-V1.1,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,0.0,2023_10_28T23_24_10.120000,2023_11_07T10_04_12.671111,False
4,S1,TheBloke/WizardLM-13B-V1.1-GPTQ,WizardLM/WizardLM-13B-V1.1,GPTQ,harness_gsm8k_5,False,True,no shared join keys between 1319 base and 1319 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_28T23_24_10.120000,2023_11_07T10_04_12.671111,False
4,S1,TheBloke/WizardLM-13B-V1.1-GPTQ,WizardLM/WizardLM-13B-V1.1,GPTQ,harness_winogrande_5,False,True,no shared join keys between 1267 base and 1267 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_28T23_24_10.120000,2023_11_07T10_04_12.671111,False
5,S1,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,ehartford/Wizard-Vicuna-30B-Uncensored,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,0.0,2023_10_18T12_57_01.368480,2023_11_07T20_55_33.884727,False
5,S1,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,ehartford/Wizard-Vicuna-30B-Uncensored,GPTQ,harness_gsm8k_5,False,True,no shared join keys between 1319 base and 1319 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_18T12_57_01.368480,2023_11_07T20_55_33.884727,False
5,S1,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,ehartford/Wizard-Vicuna-30B-Uncensored,GPTQ,harness_winogrande_5,False,True,no shared join keys between 1267 base and 1267 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_18T12_57_01.368480,2023_11_07T20_55_33.884727,False
6,S1,TheBloke/WizardLM-70B-V1.0-GPTQ,WizardLM/WizardLM-70B-V1.0,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,0.0,2023_10_15T19_05_20.351798,2023_11_07T19_43_56.739522,False
6,S1,TheBloke/WizardLM-70B-V1.0-GPTQ,WizardLM/WizardLM-70B-V1.0,GPTQ,harness_gsm8k_5,False,True,no shared join keys between 1319 base and 1319 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_15T19_05_20.351798,2023_11_07T19_43_56.739522,False
6,S1,TheBloke/WizardLM-70B-V1.0-GPTQ,WizardLM/WizardLM-70B-V1.0,GPTQ,harness_winogrande_5,False,True,no shared join keys between 1267 base and 1267 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_15T19_05_20.351798,2023_11_07T19_43_56.739522,False
7,S1,TheBloke/Airoboros-L2-13B-2.1-GPTQ,jondurbin/airoboros-l2-13b-2.1,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,1.0,2023_10_22T11_50_58.922768,2023_09_22T16_15_21.953879,False
7,S1,TheBloke/Airoboros-L2-13B-2.1-GPTQ,jondurbin/airoboros-l2-13b-2.1,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_10_22T11_50_58.922768'],,,,,,,,,,,,,,,2023_10_22T11_50_58.922768,2023_09_22T16_15_21.953879,False
7,S1,TheBloke/Airoboros-L2-13B-2.1-GPTQ,jondurbin/airoboros-l2-13b-2.1,GPTQ,harness_truthfulqa_mc_0,False,True,no parquet found for task harness_truthfulqa_mc_0 in runs ['2023_10_22T11_50_58.922768'],,,,,,,,,,,,,,,2023_10_22T11_50_58.922768,2023_09_22T16_15_21.953879,False
8,S1,TheBloke/OpenOrcaxOpenChat-Preview2-13B-GPTQ,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,1.0,2023_10_16T12_28_11.016345,2023_10_22T10_53_17.967443,False
8,S1,TheBloke/OpenOrcaxOpenChat-Preview2-13B-GPTQ,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_10_16T12_28_11.016345'],,,,,,,,,,,,,,,2023_10_16T12_28_11.016345,2023_10_22T10_53_17.967443,False
8,S1,TheBloke/OpenOrcaxOpenChat-Preview2-13B-GPTQ,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,GPTQ,harness_truthfulqa_mc_0,False,True,no parquet found for task harness_truthfulqa_mc_0 in runs ['2023_10_16T12_28_11.016345'],,,,,,,,,,,,,,,2023_10_16T12_28_11.016345,2023_10_22T10_53_17.967443,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_arc_challenge_25,False,True,no parquet found for task harness_arc_challenge_25 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hellaswag_10,False,True,no parquet found for task harness_hellaswag_10 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_abstract_algebra_5,False,True,no parquet found for task harness_hendrycksTest_abstract_algebra_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_anatomy_5,False,True,no parquet found for task harness_hendrycksTest_anatomy_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_astronomy_5,False,True,no parquet found for task harness_hendrycksTest_astronomy_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_business_ethics_5,False,True,no parquet found for task harness_hendrycksTest_business_ethics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_clinical_knowledge_5,False,True,no parquet found for task harness_hendrycksTest_clinical_knowledge_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_biology_5,False,True,no parquet found for task harness_hendrycksTest_college_biology_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_chemistry_5,False,True,no parquet found for task harness_hendrycksTest_college_chemistry_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_computer_science_5,False,True,no parquet found for task harness_hendrycksTest_college_computer_science_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_mathematics_5,False,True,no parquet found for task harness_hendrycksTest_college_mathematics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
