pair_index,source,quantized_model,base_model,method,task,contains_disclosed_probe_cell,excluded_or_skipped,reason,n,correctness_column,baseline_accuracy,method_accuracy,net_accuracy_delta,harmful_flip_rate,beneficial_flip_rate,accuracy_state_churn,total_answer_churn,mcnemar_p,tost_equivalent,mdd_80_power,required_n_for_observed_delta_80_power,prompt_pass_rate
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_gsm8k_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_winogrande_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_arc_challenge_25,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_gsm8k_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hellaswag_10,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_5,False,True,"no parquet found for task harness_hendrycksTest_5 in runs ['2023_08_16T13_35_32.670682', '2023_10_18T04_27_15.231240']",,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_abstract_algebra_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_anatomy_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_astronomy_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_business_ethics_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_clinical_knowledge_5,False,True,no acc_norm or acc column in S1 rows,,,,,,,,,,,,,,
