# Old-to-new commit hash mapping for the removal of
# docs/audit_sources_20260731.tar.gz from git history.
#
# Computed 2026-08-04 by git filter-branch --index-filter on a throwaway
# clone. NOT YET APPLIED to the working repository. Applying it requires
# the signed amendment drafted in AUDIT_AMENDMENT4_DRAFT_2026-08-04.md.
#
# Verified on the preview: 251 commits before and after, author/email/date/
# message identical for every commit, and the only tree difference across
# the whole range is the removed tarball.
#
# 987377a (tag v1.0.0) is an ANCESTOR of cc357db and is NOT in this table:
# the release tag and its Zenodo archive are outside the rewrite.
old_sha	new_sha	old_short	new_short	subject
cc357db3cd0628c7f4f348c867ed2dbc2cfa6ef7	4529e3a2d9dca99d341ff90e3bb81813ed3afb10	cc357db	4529e3a	Archive and verify all 17 audit sources; full-text margin sweep
bb455284a915f28ad8c7b94cabb59983c84a359b	ed92ae84ab9482173c7988e9787d318b7d2426cd	bb45528	ed92ae8	Amend draft for eligibility correction; add power-flag sensitivity
ab279b2ad3dc017bb307298b226c64b6f9bc2a4b	c382b0122c5c28259da669b08f2bda976c139227	ab279b2	c382b01	Sign and append Amendment 2 to the audit registration
de5539f4c136bfd0eb8f68467e7247cd0aac3163	ff6e4b1dd708e50b07943dc66a3ff1a485893422	de5539f	ff6e4b1	Implement Amendment 2 in the verdict path
f1261ea6548c50e3b2ab035a1daf97ad6efe09d2	5d7d513a0824af756ecd9dfaaa6d9162a82cf4e9	f1261ea	5d7d513	Refresh source-state freeze after Amendment 2 implementation
682185dec8fd602d25b3b7c953e9fcfe47565f8a	4b54df23cd53f0270307878ebc3f13e1713ddaf5	682185d	4b54df2	Remove rev-1 atlas defaults from both analysis entry points
9821c1d55fc3f40272cf864fdfcf503e4ca43382	32be80a73533a1ec295a65e7660b01bc66bd991d	9821c1d	32be80a	Refresh freeze after removing the rev-1 atlas defaults
645ac6213fad5e908983fdda56776fe09ef708f4	da9b844cbbc409ca2a9f29439a7c7cee12365298	645ac62	da9b844	Recompute audit verdicts under Amendment 2 (rev-3, single run)
c7e115592d2198a0ce43b1faf40f422f487353be	b8425ec25abb1b9f6d33b227531bef1c9b2650f3	c7e1155	b8425ec	Refresh freeze after adding run_audit_verdicts.sbatch
f6c4f56ec3038a58ac2680db7dc1bc483178cd3d	21046b3583584baacad747791242d43004432764	f6c4f56	21046b3	Checklist for carrying rev-3 verdicts through the paper
9d502e01ccf3a27001f9050b244c544418d42523	58e342755a18ba923cb387554cd391396874341d	9d502e0	58e3427	Fold advisor safeguards into the rev-3 carry checklist
d37aa1c9ddb937cd0df46a5ac11b6822b0384c7e	335a11401a335245c2e1bd2cc34dbe39f541a759	d37aa1c	335a114	Carry rev-3 into the audit taxonomy and the abstract
d81b7c0b1f7ac48de3324916ba7597e1f1443e4b	3685201a4d9ffde24876a5d72ea188c15f91d7fd	d81b7c0	3685201	Regenerate READING_COPY.md at d37aa1c
9189aabc32345c92fce3536657292fc7a9194a5a	177817997f714cae1ee96500a5c8ed6f883e8be8	9189aab	1778179	Carry rev-3 through the audit section
a205c31490ce8c56e811412e32c3961ebf8edb79	6afc5b1dee75b1d751cf190f4bbd0d9dc2da9861	a205c31	6afc5b1	Regenerate READING_COPY.md at 9189aab
1137964a513ce116bc3594994ae4dcb6b497f404	350772a713e5c60cc68ec54afe5022c884d34fce	1137964	350772a	Withdraw the shortfall range; clear em dashes; resync the registrations appendix
c6c937e14279ea12c850878c02e6def86a2c638b	dba16273142346aa362b8dd4fd117cbef53f82d9	c6c937e	dba1627	Regenerate READING_COPY.md at 1137964
2b2ff4a9b3a9adb05db6f03f4bae4375da07f66f	12eb896035edb2a275cae172eaf9cc8948c9f50f	2b2ff4a	12eb896	Regenerate the audit appendix tables from rev-3
896431beecd358a7852237e9d5ba372b074b455f	7d3501773c124ab891542c447f3ca80af048383a	896431b	7d35017	Regenerate READING_COPY.md at 2b2ff4a
b3fdfdee654daa21167680fbac9ae0f2e796ccb1	099e2a2b7fdcdc768d24870dc15af47a0085d814	b3fdfde	099e2a2	Correct two comments that describe rev-1 imputation behaviour
0549e1f3d24754ab4adf864039a60c7ad6642344	129c646bc8e88571347d06c907d6b8ec40f2a4a6	0549e1f	129c646	Refresh freeze after the imputation comment corrections
5adf2fb02e1575ac9a3472c6ba6e71032a68dc20	1eee319c87c4b8939e50be47402584da6628b01a	5adf2fb	1eee319	Add a retrieval script for the audited sources
2e9c41108fb1b10c25e03af0c559c2d7248e03be	c2eda0b79f97062c8cb146fa379864edfb135f4f	2e9c411	c2eda0b	Refresh freeze after adding fetch_audit_sources.py
546a1f653777765a41a617d9eabe501c7c4a9b5b	9923f243ddddf478fa9ffabafc59b7bb6c3ea22b	546a1f6	9923f24	Session handoff for 2026-08-02
152361ea8c630417b4badf6003e96a70cf556bf8	f9d899487a9aaf770e016dcbc528b7f36116a637	152361e	f9d8994	Add the authoritative final rev-3 checklist, supplied by Amogh
