claim_id,frame,source_name,source_url,source_version_or_date,exact_quote,benchmarks,reported_n,baseline_accuracy_reported,delta_reported,per_item_outputs_released,statistical_test_or_interval_reported,extraction_notes
C01,F1,"GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers (Frantar, Ashkboos, Hoefler, Alistarh)",https://arxiv.org/abs/2210.17323,"v2, 2023-03-22 (v1: 2022-10-31)",negligible accuracy degradation relative to the uncompressed baseline,"LAMBADA; PIQA; ARC-Easy; ARC-Challenge; StoryCloze (OPT-175B, 4-bit; Appendix A.4 Tables 13-22)",imputed:standard (LAMBADA ~5153; PIQA ~1838; ARC-e ~2376; ARC-c ~1172; StoryCloze ~1871) - not stated explicitly in paper,OPT-175B FP16: LAMBADA 75.59; PIQA 81.07; ARC-e 71.04; ARC-c 43.94; StoryCloze 79.82,GPTQ 4-bit minus FP16: LAMBADA +1.21pp; PIQA -0.07pp; ARC-e -2.35pp; ARC-c -1.19pp; StoryCloze +0.26pp,no,no,"Abstract quote is the anchoring claim (matches 2026-07-15 pass-0 collection). Body table numbers pulled via WebFetch of ar5iv mirror, NOT independently grepped like C06/C08 - PASS-2 ATTENTION: grep raw text/PDF to confirm Table 13-22 numbers. Note ARC-Easy shows a 2.35pp drop, larger than the abstract's 'negligible' framing suggests; worth flagging for the paper's audit discussion regardless of verdict math (not computed this pass)."
C02,F1,"LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale (Dettmers, Lewis, Belkada, Zettlemoyer)",https://arxiv.org/abs/2208.07339,"v2, 2022-11-10 (v1: 2022-08-15)",without any performance degradation,"WinoGrande; HellaSwag; PIQA; LAMBADA (OPT 125M-175B scaling curve, Figure 1); WikiText103/PTB perplexity (Table 1, excluded by inclusion rule)","not stated - Figure 1 is a scaling curve, not a numeric table","not tabulated - figure-only, no exact numbers extracted this pass","qualitative only: figure caption states 'regular quantization methods fail, while LLM.int8() maintains 16-bit accuracy' once outliers emerge at 6.7B params; no numeric delta table located",no,no,"WEAKER EVIDENTIARY BASIS than C01/C03/C05/C06: the zero-shot benchmark-accuracy claim rests on a figure (Figure 1), not a numeric table; abstract wording ('without any performance degradation') is the only quantifiable trigger text. PASS-2: search appendix for a numeric zero-shot table; if none exists, flag for verdict stage that no extractable n/baseline/delta exists for this claim's benchmark-accuracy component (perplexity Table 1 numbers exist but are excluded per inclusion rule 3.1)."
C03,F1,"SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models (Xiao, Lin, Seznec, Wu, Demouth, Han)",https://arxiv.org/abs/2211.10438,"v7, 2024-03-29 (v1: 2022-11-18)",negligible loss in accuracy,"LAMBADA; HellaSwag; PIQA; WinoGrande; OpenBookQA; RTE; COPA (OPT-175B, Table 3); OPT-175B/BLOOM-176B/GLM-130B avg accuracy (Table 4)",imputed:standard per task - not explicit in tables this pass,"Table 3 OPT-175B FP16 avg 66.9%; Table 4: OPT-175B FP16 71.6%, BLOOM-176B FP16 68.2%, GLM-130B FP16 73.8%","Table 3 (O3): avg -0.1pp (66.8 vs 66.9); Table 4 (O1): OPT-175B -0.4pp, BLOOM-176B +0.1pp, GLM-130B -0.1pp; body text states 'only 0.8% degradation at O3' for BLOOM-176B",no,no,"Stronger body quote (WebFetch-sourced, NOT independently grepped - PASS-2 flag): 'SmoothQuant can match the FP16 accuracy on all evaluation datasets with all quantization schemes' (OPT-175B) and 'maintains the floating point accuracy' (BLOOM-176B at O1/O2). Paper spans 7 arXiv revisions over ~1.5 years adding Llama-1/2, Falcon, Mistral, Mixtral; per-model tables for those later additions not checked this pass - PASS-2: verify which models/benchmarks appear in the LATEST version vs the original NeurIPS-era version, since the claim's scope changed across revisions."
C04,F1,"AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration (Lin, Tang, Tang, Yang, Chen, Wang, Xiao, Dang, Gan, Han)",https://arxiv.org/abs/2306.00978,"v6, 2026-04-25 (v1: 2023-06-01) - NOTE: unusually late revision, verify vs v5 (2024-07-18) in pass 2",demonstrates comparable performance to the original FP16 model across both datasets,MBPP (CodeLlama-7B); GSM8K (Llama-2-7B); INT4-g128 weight-only quantization,"not stated explicitly this pass; imputed:MBPP~500 (test split), GSM8K imputed:1319 (test split) pending pass-2 confirmation of exact eval split used",MBPP FP16 (CodeLlama-7B) 38.53; GSM8K FP16 (Llama-2-7B) 13.87,"MBPP: +2.11pp (40.64 AWQ vs 38.53 FP16, i.e. quantized scores higher); GSM8K: -0.30pp (13.57 vs 13.87)",no,no,"Quote drawn from body (programming/math results section), NOT the abstract - abstract itself lacks explicit equivalence trigger vocabulary (says 'outperforms existing work', a superiority not equivalence frame). Paper also states elsewhere (VLM section, VILA): 'AWQ consistently shows lossless performance on all benchmarks' across 11 VLM benchmarks - excluded here as out-of-scope (vision-language, not text LLM benchmark). PASS-2: confirm exact table/section number and re-verify the v6 2026-04-25 revision text matches what was extracted (large version gap is unusual and could reflect a camera-ready update with different numbers)."
C05,F1,"A Simple and Effective Pruning Approach for Large Language Models [Wanda] (Sun, Liu, Bair, Kolter)",https://arxiv.org/abs/2306.11695,"v3, 2024-05-06 (v1: 2023-06-20)",able to match the zero-shot accuracies of their dense counterparts,"7-task zero-shot average (EleutherAI LM Harness suite) - LLaMA-65B and LLaMA-2-70B, 50% unstructured sparsity","imputed:standard (harness default sizes vary by task, e.g. BoolQ ~3270, PIQA ~1838, HellaSwag ~10042, WinoGrande ~1267, ARC-e/c, OBQA ~500) - not stated explicitly in paper this pass",LLaMA-65B dense 66.97% (7-task avg); LLaMA-2-70B dense 67.08% (7-task avg),LLaMA-65B: -0.30pp (66.67 vs 66.97); LLaMA-2-70B: -0.05pp (67.03 vs 67.08),no,no,"Numbers and quote location (Section 4.1, Table 2) sourced via WebFetch summarization of ar5iv mirror, NOT independently grepped - PASS-2: grep raw HTML/PDF to confirm exact sentence text and table number, and confirm the 7-task list matches Wanda's actual harness config."
C06,F1,"SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot (Frantar, Alistarh)",https://arxiv.org/abs/2301.00774,"v3, 2023-03-22 (v1: 2023-01-02)",SparseGPT models stay close to the original accuracy,"LAMBADA; PIQA; ARC-Easy; ARC-Challenge; StoryCloze (OPT-175B, 50% unstructured sparsity, zero-shot)",imputed:standard (LAMBADA ~5153; PIQA ~1838; ARC-e ~2376; ARC-c ~1172; StoryCloze ~1871) - not stated explicitly,"OPT-175B dense avg 70.29% (5-task avg, per secondary WebFetch extraction of Table 2 - not independently grepped)","+0.23pp (70.52 sparse vs 70.29 dense, 5-task avg)",no,"no explicit test; paper itself states (VERIFIED verbatim via curl+grep of ar5iv HTML) 'these numbers are more noisy' immediately after the quoted claim - an informal acknowledgment of measurement uncertainty, not a quantified interval","EXACT QUOTE INDEPENDENTLY VERIFIED via curl+grep of https://ar5iv.labs.arxiv.org/html/2301.00774 (raw HTML saved to scratchpad/sparsegpt.html), unlike most other rows in this pass. Table 2 average numbers (70.52 vs 70.29) still only WebFetch-sourced - PASS-2: confirm those specific figures directly from the table. Paper explicitly frames its own zero-shot numbers as secondary/noisy relative to perplexity, which is itself a relevant audit observation (authors' own hedge about evaluation reliability)."
C07,F1,"SqueezeLLM: Dense-and-Sparse Quantization (Kim, Hooper, Gholami, Dong, Li, Shen, Mahoney, Keutzer)",https://arxiv.org/abs/2306.07629,online date 2024-06-05 per arXiv metadata (v1: 2023-06-13); exact version letter not confirmed this pass,enables lossless compression to ultra-low precisions of up to 3-bit,"MMLU (Vicuna-7B v1.1, Table 2); LLaMA-family perplexity (excluded by inclusion rule, cited only as context)",imputed:MMLU 14042 (full test set) - not stated explicitly in paper this pass,Vicuna-7B v1.1 MMLU baseline 39.1%,4-bit: -0.3pp (38.8 vs 39.1); 3-bit: -3.1pp (36.0 vs 39.1),no,no,"AUDIT-RELEVANT SELF-CONTRADICTION (flagging only, no verdict computed): abstract quote verified verbatim via curl of the arXiv citation_abstract meta tag ('...enables lossless compression to ultra-low precisions of up to 3-bit, but also achieves...'), yet the paper's own Table 2 MMLU result at 3-bit shows a 3.1pp drop from baseline - a magnitude well outside common 'lossless' or 'negligible' framings for downstream accuracy (the 'lossless' framing in the abstract appears anchored to perplexity, not MMLU). Table 2 numbers sourced via WebFetch summarization only - PASS-2: independently grep/fetch Table 2 to confirm before this becomes a headline audit example."
C08,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Card Release Date 7/26/2024; Card Version 1.0 (fetched/grepped 2026-07-15 via raw README.md),"achieves 93.0% recovery for the Arena-Hard evaluation, 98.9% for OpenLLM v1","Arena-Hard; OpenLLM v1 avg (MMLU 5-shot, MMLU-CoT 0-shot, ARC-Challenge, GSM-8K-CoT, HellaSwag, WinoGrande, TruthfulQA); OpenLLM v2 avg; HumanEval pass@1; HumanEval+ pass@1",not stated on card for any benchmark,Arena-Hard 25.8 (25.1/26.5 two GPT-4 judgments); OpenLLM v1 avg 74.3; OpenLLM v2 avg 27.6; HumanEval 67.3; HumanEval+ 60.7,"Arena-Hard: TABLE shows +1.4 abs (27.2 vs 25.8) = 105.4% recovery, but PROSE (quoted) states 93.0% recovery for the SAME benchmark - internal contradiction, see notes; OpenLLM v1: -0.8pp (98.9%); OpenLLM v2: -1.1pp (96.1%); HumanEval: -0.2pp (99.7%); HumanEval+: -1.6pp (97.4%)","partial - yes for Arena-Hard, OpenLLM v2, and HumanEval (linked HF datasets: neuralmagic/quantized-llama-3.1-arena-hard-evals, -leaderboard-v2-evals, -humaneval-evals); no for OpenLLM v1",no (point estimates and recovery percentages only; Arena-Hard reports two GPT-4 judge scores as a split but no formal CI),"VERIFIED DISCREPANCY IN THE PRIMARY SOURCE ITSELF (confirmed via curl+grep of raw README.md, not a summarizer artifact): prose paragraph states Arena-Hard recovery = 93.0%, but the accuracy table in the same document computes 25.8 -> 27.2 = 105.4% recovery for the identical benchmark. This is a strong candidate for the paper's audit-quality narrative regardless of verdict math. Also notable for the SEPARATE 'public per-item data' mission: three of five benchmark families have linked per-item HF dataset releases - flag for that search thread too. PASS-2: re-derive the 93.0% figure to determine if it is a stale/copy-paste error from a different model card."
C09,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Card Release Date 7/23/2024; Card Version 1.0 (fetched/grepped 2026-07-15 via raw README.md),achieves an average score of 73.44 on the OpenLLM benchmark,"OpenLLM v1: MMLU (5-shot), MMLU-CoT (0-shot), ARC-Challenge (0-shot), GSM-8K-CoT (8-shot strict-match), and others per standard suite",not stated on card,"OpenLLM v1 avg 73.79 (unquantized Meta-Llama-3.1-8B-Instruct); per-task e.g. MMLU 67.95, MMLU-CoT 71.24, ARC-C 82.00, GSM8K-CoT 81.96","Average: -0.35pp (73.44 vs 73.79, 99.52% recovery); MMLU: +0.02pp (100.0%); MMLU-CoT: -0.12pp (99.83%); ARC-C: -0.34pp (99.59%); GSM8K-CoT: -0.84pp (98.98%)",no (not checked for a linked per-item dataset on this card this pass - PASS-2: verify),no,"Prose sentence (line 36 of raw README) and table numbers cross-checked directly via curl+grep this pass and found CONSISTENT (no C08-style discrepancy on this card). Good sibling comparison case to C08 for the paper (same model family/evaluator, one internally consistent card and one internally inconsistent card)."
C10,F2,RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16 model card (Neural Magic / Red Hat AI),https://huggingface.co/RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,Card Release Date 04/16/2025; Card Version 1.0 (fetched/grepped 2026-07-15 via raw README.md),average recovery percentage across all benchmarks is 98.6%,"OpenLLM v1: MMLU (5-shot), ARC-Challenge (25-shot), GSM-8K (5-shot strict-match), HellaSwag (10-shot), WinoGrande (5-shot), TruthfulQA (0-shot mc2)","not stated on card; harness identified by exact commit hash 387Bbd54bc621086e05aa1b030d8d4d5635b25e6 of EleutherAI lm-evaluation-harness (a genuine reproducibility positive, worth noting)",Qwen2.5-7B-Instruct: MMLU 74.24; ARC-C 63.40; GSM8K 80.36; HellaSwag 81.52; WinoGrande 74.66; TruthfulQA 64.76; Average 73.16,"MMLU -1.05pp (98.6%); ARC-C -0.17pp (99.7%); GSM8K +0.23pp (100.3%); HellaSwag -0.87pp (98.9%); WinoGrande -0.47pp (99.4%); TruthfulQA -0.49pp (99.3%); Average -0.47pp (72.69 vs 73.16, 98.6%)",no (not checked for a linked per-item dataset on this card this pass - PASS-2: verify),no,"'98.6%' quote is the WebFetch-summarized closing sentence, not confirmed as a literal verbatim quote from the raw README this pass (the raw grep only confirmed the underlying table numbers, not this exact closing sentence) - PASS-2 ATTENTION: grep the raw README for the literal sentence containing '98.6%' to confirm exact wording before finalizing the exact_quote field. Eval command in the card still references the old org name 'neuralmagic/Qwen2.5-7B-Instruct-quantized.w4a16', evidence of the Neural Magic -> Red Hat AI rename post-dating card creation."
