claim_id,source_name,frame,method_family,bits,benchmark,n,n_basis,baseline_accuracy,claimed_margin_pp,margin_basis,imputed_discordance,discordance_match_tier,discordance_n_cells,indeterminate,indeterminate_kind,indeterminate_reason,determinate_components,v3_per_item_outputs,notes,v1_mdd_pp_paired,v1_mdd_pp_independent,v1_mdd_over_margin_paired,v1_mdd_over_margin_independent,v2_required_n_paired_1pp,v2_required_n_independent_1pp,v2_underpowered_paired_1pp,v2_underpowered_independent_1pp,v2_required_n_paired_2pp,v2_required_n_independent_2pp,v2_underpowered_paired_2pp,v2_underpowered_independent_2pp,v2_required_n_paired_3pp,v2_required_n_independent_3pp,v2_underpowered_paired_3pp,v2_underpowered_independent_3pp,v2_required_n_paired_own_margin,v2_underpowered_own_margin,applicable_margin_pp,applicable_margin_basis,v2_required_n_applicable,v2_underpowered_applicable,margin_sensitive,verdict,verdict_at_registered_2pp
R01,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformer,F1,gptq,4,piqa,1838,"frozen row states 'imputed (PIQA validation set, standard n=1838)'",0.8107,2.35,max |delta| over the 5 OPT-175B tasks the claim covers (ARC-e -2.35pp),0.125201,family+bits,484,False,,,,no,n is PIQA's; the largest delta is ARC-Easy's. Using PIQA's own -0.07pp delta instead would raise the MDD/margin ratio ~34x.,2.3123,3.6204,0.984,1.541,7741,18977,True,True,1936,4745,True,True,861,2109,False,True,1402,False,2.35,claim's own stated margin,1402,False,True,adequately powered at its applicable margin,underpowered for its own assertion
R02,"LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale (Dettmers, Lew",F1,w8a8_int8,8,(mixed/unmatched),,frozen row: 'not stated in extractable text (Figure 1 is a chart image)',,,no numeric delta on the page (figure-only),0.056,family+bits,116,True,insufficient reporting,"no reported or imputable n, no baseline, no numeric delta",,no,Headline comparison exists only as a chart image.,,,,,3463,,,,866,,,,385,,,,,,2.0,registered fallback (2pp); claim states no margin,,,,indeterminate - insufficient reporting,indeterminate - insufficient reporting
R03,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Languag,F1,w8a8_int8,8,(mixed/unmatched),18300,frozen row itemises WinoGrande 1267 + HellaSwag 10042 + PIQA 1838 + LAMBADA 5153,0.669,0.8,"body text 'only 0.8% degradation at O3' (BLOOM-176B), the largest stated",0.056,family+bits,116,False,,,,no,Multi-task pooled n; benchmark left unmatched (mixed suite).,0.4901,1.3782,0.613,1.723,3463,27382,False,True,866,6846,False,False,385,3043,False,False,5410,False,0.8,claim's own stated margin,5410,False,False,adequately powered at its applicable margin,adequately powered at 2pp
R04,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration (,F1,awq,4,gsm8k,1319,GSM8K standard test size; the frozen row's own n (COCO 5000) belongs to a CIDEr claim,0.1387,0.3,"GSM8K -0.30pp, the accuracy benchmark the source reports",0.073541,family+bits+benchmark,1,True,metric-incompatible,"qualifying quote asserts negligible loss on COCO CIDEr, a generation metric with no per-item correct/incorrect state; V1/V2 are flip-model quantities that do not apply to it",V1_paired V1_independent V2,no,"The GSM8K columns are computable and retained for transparency, but GSM8K is a different benchmark from the one the qualifying sentence is about, and the source used non-trigger language for it. Scoring the CIDEr assertion via GSM8K would audit a sentence the source did not write, so R04 is indeterminate and its GSM8K numbers are supplementary only.",2.0919,3.7706,6.973,12.569,4547,14772,True,True,1137,3693,False,True,506,1642,False,True,50519,True,0.3,claim's own stated margin,50519,True,True,indeterminate - metric-incompatible,indeterminate - metric-incompatible
R05,"SqueezeLLM: Dense-and-Sparse Quantization (Kim, Hooper, Gholami, Dong, Li, Shen,",F1,squeezellm,4,mmlu,14042,"frozen row states 'imputed (MMLU test set, standard n=14042)'",0.391,3.1,3-bit -3.1pp: the abstract asserts losslessness 'up to 3-bit',0.137829,bits+benchmark,684,False,,,,no,"Source-internal contradiction: abstract claims lossless to 3-bit, own Table 2 shows -3.1pp at 3-bit. Atlas has no 3-bit cells; matched at 4-bit.",0.8777,1.6316,0.283,0.526,8522,29444,False,True,2131,7361,False,False,947,3272,False,False,887,False,3.1,claim's own stated margin,887,False,False,adequately powered at its applicable margin,adequately powered at 2pp
R06,"A Simple and Effective Pruning Approach for Large Language Models [Wanda] (Sun, ",F1,pruning,,(mixed/unmatched),18904,frozen row itemises the 7 zero-shot splits,0.6697,0.3,"LLaMA-65B -0.30pp, the larger of the two stated deltas",0.1125,global,1155,False,,,,no,"50% unstructured pruning: no bit width, and the atlas contains no pruning cells, so imputation descends to the global tier by construction.",0.6834,1.3553,2.278,4.518,6956,27352,False,True,1739,6838,False,False,773,3040,False,False,77282,True,0.3,claim's own stated margin,77282,True,False,underpowered for its own assertion,adequately powered at 2pp
R07,SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot (Frantar,F1,pruning,,(mixed/unmatched),12410,frozen row itemises the 5 zero-shot splits,0.7029,0.23,+0.23pp 5-task average (sparse above dense),0.1125,global,1155,False,,,,no,"Paper itself notes 'these numbers are more noisy' -- an informal acknowledgment of measurement uncertainty, no interval.",0.8435,1.6253,3.667,7.066,6956,25823,False,True,1739,6456,False,False,773,2870,False,False,131482,True,0.23,claim's own stated margin,131482,True,False,underpowered for its own assertion,adequately powered at 2pp
R08,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16 model card (Neural Magic / R,F2,w4a16,4,mmlu,42701,OpenLLM v1 7-task pooled standard sizes ('imputed via each task's standard size'),0.743,1.4,"Arena-Hard +1.4pp absolute, the largest delta the quoted sentence covers",0.048,family+bits,77,False,,,,partial,"Self-contradiction: prose says 93.0% Arena-Hard recovery, the card's own table shows 25.8->27.2 = 105.4%. Per-item outputs exist for Arena-Hard/OpenLLM v2/HumanEval but NOT for the OpenLLM v1 tasks in this claim.",0.297,0.8378,0.212,0.598,2968,23612,False,False,742,5903,False,False,330,2624,False,False,1515,False,1.4,claim's own stated margin,1515,False,False,adequately powered at its applicable margin,adequately powered at 2pp
R09,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8 model card (Neural Magic / Red Hat AI),F2,w8a8_fp8,8,mmlu,42701,OpenLLM v1 7-task pooled standard sizes ('not stated; imputed via standard task sizes'),0.7379,0.84,"GSM8K-CoT -0.84pp, the largest per-task delta on the card",0.048,family+bits,116,False,,,,no,Headline average delta is -0.35pp (99.52% recovery).,0.297,0.8432,0.354,1.004,2968,23915,False,False,742,5979,False,False,330,2658,False,False,4206,False,0.84,claim's own stated margin,4206,False,False,adequately powered at its applicable margin,adequately powered at 2pp
R10,RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16 model card (Neural Magic / Red Hat ,F2,w4a16,4,mmlu,28659,OpenLLM v1 6-task pooled standard sizes ('not stated; imputed via standard task sizes'),0.7316,1.05,"MMLU -1.05pp, the largest per-task delta on the card",0.048,family+bits,77,False,,,,no,Headline average delta is -0.47pp (98.6% recovery).,0.3626,1.0371,0.345,0.988,2968,24281,False,False,742,6071,False,False,330,2698,False,False,2692,False,1.05,claim's own stated margin,2692,False,False,adequately powered at its applicable margin,adequately powered at 2pp
